Date	Open	High	Low	Close	Volume	Market Cap
2017-12-11	1320.00	1453.49	1316.85	1423.38	922,792,000	22,239,900,000
2017-12-10	1411.84	1411.84	1226.21	1323.07	885,886,000	23,784,900,000
2017-12-09	1464.63	1526.40	1353.90	1410.06	1,059,610,000	24,671,600,000
2017-12-08	1329.16	1731.32	1247.93	1464.13	2,553,980,000	22,386,700,000
2017-12-07	1430.71	1454.73	1323.75	1330.93	1,285,210,000	24,095,900,000
2017-12-06	1498.49	1530.65	1396.16	1430.10	1,154,620,000	25,234,400,000
2017-12-05	1580.16	1623.16	1498.00	1501.85	1,032,800,000	26,606,900,000
2017-12-04	1560.16	1580.11	1498.98	1576.92	780,634,000	26,267,300,000
2017-12-03	1435.36	1649.30	1420.60	1559.93	1,476,740,000	24,163,600,000
2017-12-02	1462.06	1502.37	1415.49	1434.98	574,510,000	24,610,500,000
2017-12-01	1381.81	1482.68	1300.46	1462.68	965,151,000	23,257,100,000
2017-11-30	1380.36	1468.75	1222.10	1389.78	1,211,730,000	23,230,400,000
2017-11-29	1541.63	1673.23	1332.14	1359.71	2,345,250,000	25,941,800,000
2017-11-28	1621.17	1629.48	1543.08	1546.18	1,274,880,000	27,277,200,000
2017-11-27	1722.93	1742.40	1607.79	1622.57	1,391,460,000	28,986,800,000
2017-11-26	1571.39	1758.61	1563.35	1735.66	1,593,050,000	26,434,500,000
2017-11-25	1634.00	1656.55	1535.77	1571.27	1,560,040,000	27,484,900,000
2017-11-24	1651.86	1782.83	1575.76	1648.51	3,128,960,000	27,782,400,000
2017-11-23	1302.23	1683.81	1299.95	1683.81	4,112,090,000	21,899,400,000
2017-11-22	1175.06	1335.25	1171.60	1303.31	1,517,620,000	19,758,600,000
2017-11-21	1220.78	1224.15	1140.88	1176.97	772,859,000	20,525,100,000
2017-11-20	1172.43	1236.01	1167.28	1236.01	800,053,000	19,710,200,000
2017-11-19	1260.95	1262.34	1144.08	1172.05	1,285,910,000	21,196,200,000
2017-11-18	1197.43	1388.11	1197.43	1254.53	3,053,770,000	20,125,900,000
2017-11-17	909.16	1217.42	863.98	1185.48	3,203,430,000	15,279,000,000
2017-11-16	1202.17	1210.36	876.57	900.78	2,034,690,000	20,202,000,000
2017-11-15	1269.79	1326.39	1191.98	1212.40	1,321,780,000	21,335,600,000
2017-11-14	1346.73	1390.21	1211.39	1273.53	1,697,910,000	22,626,200,000
2017-11-13	1381.82	1501.16	1043.00	1353.99	4,850,570,000	23,214,700,000
2017-11-12	1346.97	2477.65	1215.58	1388.86	8,371,320,000	22,614,400,000
2017-11-11	1001.64	1403.66	910.72	1340.45	5,139,770,000	16,807,400,000
2017-11-10	651.77	1034.77	651.77	1007.42	5,195,420,000	10,933,000,000
2017-11-09	622.31	670.14	619.26	654.30	710,387,000	10,437,700,000
2017-11-08	615.24	646.38	565.60	622.46	837,646,000	10,317,500,000
2017-11-07	602.68	626.21	602.45	616.30	375,367,000	10,105,200,000
2017-11-06	630.31	657.34	602.65	602.65	794,105,000	10,566,600,000
2017-11-05	619.91	635.72	579.13	630.70	816,028,000	10,390,900,000
2017-11-04	635.35	642.05	571.12	620.45	1,161,370,000	10,647,200,000
2017-11-03	587.32	684.53	577.86	625.32	1,682,210,000	9,839,760,000
2017-11-02	527.68	610.39	514.52	587.22	1,632,060,000	8,840,010,000
2017-11-01	438.30	538.26	437.91	531.83	1,152,230,000	7,342,250,000
2017-10-31	449.37	454.07	431.76	439.05	343,799,000	7,527,260,000
2017-10-30	458.45	478.42	417.62	448.23	796,409,000	7,679,000,000
2017-10-29	420.47	526.12	408.40	451.92	2,002,440,000	7,042,260,000
2017-10-28	369.54	425.44	369.06	423.35	781,037,000	6,183,520,000
2017-10-27	338.30	372.81	338.24	367.57	501,989,000	5,655,870,000
2017-10-26	332.11	350.94	331.21	338.20	234,967,000	5,550,700,000
2017-10-25	326.59	334.38	320.38	332.13	151,935,000	5,457,720,000
2017-10-24	315.90	340.45	311.48	326.89	267,442,000	5,278,410,000
2017-10-23	330.67	332.28	309.87	315.60	191,558,000	5,524,790,000
2017-10-22	323.50	355.52	323.50	331.66	355,546,000	5,405,020,000
2017-10-21	326.75	328.45	317.46	323.36	129,938,000	5,458,980,000
2017-10-20	330.90	332.98	323.08	327.44	160,204,000	5,527,860,000
2017-10-19	339.27	339.27	326.27	330.81	195,578,000	5,667,070,000
2017-10-18	373.65	376.18	313.77	339.17	477,184,000	6,240,990,000
2017-10-17	313.70	394.96	309.64	371.73	1,008,160,000	5,239,520,000
2017-10-16	315.26	318.02	310.52	313.64	117,797,000	5,265,400,000
2017-10-15	322.42	323.59	307.68	314.95	133,385,000	5,384,760,000
2017-10-14	321.54	327.42	317.35	321.96	164,137,000	5,369,720,000
2017-10-13	314.15	323.08	304.38	321.46	288,210,000	5,242,630,000
2017-10-12	315.47	330.13	310.71	313.21	262,066,000	5,262,390,000
2017-10-11	320.20	321.26	312.13	314.90	131,577,000	5,341,000,000
2017-10-10	313.22	352.02	311.70	321.59	367,809,000	5,224,170,000
2017-10-09	342.76	342.76	289.04	314.16	288,075,000	5,716,320,000
2017-10-08	360.09	362.46	337.00	342.21	203,754,000	6,004,940,000
2017-10-07	363.60	364.88	356.06	360.78	91,004,000	6,062,860,000
2017-10-06	355.44	371.28	354.96	363.01	182,031,000	5,926,540,000
2017-10-05	358.42	371.19	348.45	355.75	268,341,000	5,971,260,000
2017-10-04	404.20	404.45	354.55	358.45	251,584,000	6,729,640,000
2017-10-03	421.79	421.79	395.74	404.18	130,247,000	7,022,370,000
2017-10-02	415.87	430.86	411.84	421.19	219,590,000	6,921,580,000
2017-10-01	433.38	436.94	415.15	415.15	164,290,000	7,207,770,000
2017-09-30	436.64	445.62	432.53	432.63	150,565,000	7,258,880,000
2017-09-29	447.66	447.92	426.99	436.77	148,725,000	7,441,960,000
2017-09-28	456.71	465.20	433.50	447.81	300,421,000	7,592,000,000
2017-09-27	441.86	460.00	439.41	457.31	197,885,000	7,343,490,000
2017-09-26	445.36	458.25	441.83	441.83	165,303,000	7,400,020,000
2017-09-25	419.65	450.13	419.65	445.80	302,272,000	6,971,280,000
2017-09-24	428.80	433.04	419.25	421.03	114,527,000	7,121,950,000
2017-09-23	415.31	432.96	407.45	428.50	189,127,000	6,895,970,000
2017-09-22	417.92	435.44	402.77	415.09	241,905,000	6,937,170,000
2017-09-21	475.83	480.00	413.75	416.26	316,731,000	7,898,300,000
2017-09-20	526.74	527.72	471.09	476.05	669,264,000	8,741,670,000
2017-09-19	480.64	550.41	450.05	527.88	802,321,000	7,975,010,000
2017-09-18	422.09	479.69	422.09	479.32	458,550,000	7,001,640,000
2017-09-17	438.90	438.90	384.06	419.86	221,828,000	7,279,520,000
2017-09-16	424.49	450.98	388.20	440.22	313,583,000	7,039,590,000
2017-09-15	369.49	448.39	301.69	424.02	707,231,000	6,126,800,000
2017-09-14	504.22	510.47	367.04	367.04	257,431,000	8,359,650,000
2017-09-13	509.47	519.20	471.22	503.61	340,344,000	8,445,540,000
2017-09-12	539.03	559.22	505.01	510.41	273,825,000	8,934,220,000
2017-09-11	537.19	556.25	515.67	537.81	274,712,000	8,902,570,000
2017-09-10	546.48	546.75	484.09	537.07	289,508,000	9,055,430,000
2017-09-09	584.73	586.18	539.15	547.47	234,578,000	9,688,150,000
2017-09-08	654.37	687.30	557.50	583.10	809,763,000	10,840,500,000
2017-09-07	636.85	707.98	603.50	652.86	1,082,380,000	10,548,500,000
2017-09-06	541.28	642.69	539.96	638.18	693,240,000	8,964,700,000
2017-09-05	514.90	550.95	458.78	541.71	338,978,000	8,527,100,000
2017-09-04	608.26	608.26	500.75	517.24	328,957,000	10,072,200,000
2017-09-03	578.27	617.41	563.59	607.43	344,862,000	9,574,520,000
2017-09-02	621.96	642.05	560.58	575.90	350,478,000	10,297,000,000
2017-09-01	588.40	645.52	586.73	622.17	393,839,000	9,740,460,000
2017-08-31	576.25	603.69	572.14	588.17	298,144,000	9,538,750,000
2017-08-30	549.32	604.69	535.92	575.21	443,856,000	9,092,300,000
2017-08-29	596.13	599.30	528.32	552.93	370,017,000	9,866,110,000
2017-08-28	619.70	626.88	595.52	596.18	216,273,000	10,254,800,000
2017-08-27	625.89	654.87	589.63	620.90	402,718,000	10,357,000,000
2017-08-26	641.88	646.93	622.36	625.32	193,414,000	10,616,100,000
2017-08-25	627.06	665.41	624.30	641.05	348,632,000	10,365,600,000
2017-08-24	670.03	697.32	617.31	628.11	407,177,000	11,071,100,000
2017-08-23	690.96	715.67	651.32	669.40	501,983,000	11,416,800,000
2017-08-22	596.19	734.88	570.27	690.88	1,393,260,000	9,844,620,000
2017-08-21	723.70	756.59	573.47	599.63	1,123,400,000	11,943,100,000
2017-08-20	772.42	858.96	683.94	712.87	1,494,020,000	12,742,600,000
2017-08-19	697.04	1091.97	625.16	754.56	3,196,230,000	11,498,100,000
2017-08-18	458.67	764.07	458.67	690.24	3,087,490,000	7,565,590,000
2017-08-17	301.02	460.53	293.10	460.53	744,605,000	4,964,980,000
2017-08-16	297.97	307.62	290.21	300.21	106,436,000	4,914,350,000
2017-08-15	298.19	306.52	292.88	297.86	133,924,000	4,917,480,000
2017-08-14	296.10	327.39	293.50	297.68	174,968,000	4,882,720,000
2017-08-13	316.29	317.47	298.05	298.05	120,722,000	5,215,330,000
2017-08-12	327.82	341.85	313.70	317.09	126,007,000	5,405,200,000
2017-08-11	275.88	351.16	275.02	328.24	233,971,000	4,548,600,000
2017-08-10	305.21	311.68	274.68	275.95	136,637,000	5,031,790,000
2017-08-09	345.28	349.32	298.61	303.89	165,032,000	5,691,960,000
2017-08-08	321.35	386.29	309.61	345.49	274,880,000	5,297,390,000
2017-08-07	223.76	373.87	223.76	319.69	346,546,000	3,688,360,000
2017-08-06	212.18	223.70	203.44	220.66	107,606,000	3,497,290,000
2017-08-05	231.11	273.04	200.98	213.15	144,043,000	3,809,330,000
2017-08-04	362.18	386.93	233.05	233.05	185,038,000	5,969,720,000
2017-08-03	448.49	519.28	364.05	364.05	161,518,000	7,392,030,000
2017-08-02	382.38	756.93	309.33	452.66	416,207,000	6,302,360,000
2017-08-01	294.60	426.11	210.38	380.01	65,988,800	-
2017-07-31	346.36	347.82	266.19	294.46	1,075,960	-
2017-07-30	385.14	385.14	316.25	345.66	606,695	-
2017-07-29	410.56	423.73	323.73	384.77	737,815	-
2017-07-28	386.65	465.18	217.06	406.05	1,230,160	-
2017-07-27	417.10	460.97	367.78	385.48	533,207	-
2017-07-26	407.08	486.16	321.79	365.82	1,784,640	-
2017-07-25	441.35	541.66	338.09	406.90	524,908	-
2017-07-24	412.58	578.89	409.21	440.70	190,952	-
2017-07-23	555.89	578.97	411.78	413.06	85,013	-
